#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 160431:1615 | 03/14/11 03:14:43 | 4    | 4    | 0.000          | 0.000         |
| 160577:1622 | 03/16/11 01:45:02 | 41   | 41   | 0.000          | 0.000         |
| 160578:1622 | 03/16/11 02:20:03 | 134  | 134  | 0.000          | 0.000         |
| 160871:1636 | 03/19/11 02:43:57 | 8    | 8    | 0.000          | 0.000         |
| 160872:1636 | 03/19/11 03:50:05 | 13   | 13   | 0.000          | 0.000         |
| 160873:1636 | 03/19/11 04:20:20 | 18   | 18   | 0.000          | 0.000         |
| 160874:1636 | 03/19/11 05:38:49 | 18   | 18   | 0.000          | 0.000         |
| 160939:1639 | 03/20/11 13:48:42 | 123  | 123  | 0.000          | 0.000         |
| 160940:1639 | 03/20/11 14:46:32 | 79   | 79   | 0.000          | 0.000         |
| 160942:1639 | 03/20/11 15:24:03 | 12   | 12   | 0.000          | 0.000         |
| 160943:1639 | 03/20/11 15:34:29 | 54   | 54   | 0.000          | 0.000         |
| 160955:1640 | 03/20/11 19:51:24 | 197  | 197  | 0.001          | 0.000         |
| 160956:1640 | 03/20/11 21:20:37 | 64   | 64   | 0.000          | 0.000         |
| 160957:1640 | 03/20/11 21:48:46 | 953  | 953  | 0.003          | 0.002         |
| 160998:1642 | 03/21/11 13:23:30 | 251  | 251  | 0.001          | 0.001         |
| 161008:1642 | 03/21/11 15:15:48 | 76   | 76   | 0.000          | 0.000         |
| 161016:1642 | 03/21/11 17:06:50 | 299  | 299  | 0.001          | 0.001         |
| 161103:1644 | 03/22/11 10:17:36 | 99   | 99   | 0.000          | 0.000         |
| 161106:1644 | 03/22/11 11:06:02 | 25   | 25   | 0.000          | 0.000         |
| 161107:1644 | 03/22/11 11:21:50 | 28   | 28   | 0.000          | 0.000         |
| 161113:1644 | 03/22/11 11:37:33 | 23   | 23   | 0.000          | 0.000         |
